unique_id,account_number,name,bank,password,account_balance
50342,1502374201,vk,AAAC Bank of India,12345678,0
10928,9915522608,vk,AAAC Bank of India,12345678,800
81067,7534971910,vk,AAAC Bank of India,12345678,0
69017,3748317938,yokesh,AAAC Bank of India,12345678,0
60659,5854250488,yokesh,AAAC Bank of India,12345678,0
12066,7216476900,yokesh,AAAC Bank of India,12345678,10000000000
56322,4965361777,vy25316845,AAAC Bank of India,28874635,0
40299,9624979105,okh,AAAC Bank of India,12345678,5000000
90808,1645466635,yokesh,AAAC Bank of India,12345678,0
15806,1308863036,yokesh,AAAC Bank of India,12345678,0
67251,3638616721,fgtt,AAAC Bank of India,11111111,9500
